last_name; first_name;player_id;year;b_ab;b_home_run;b_strikeout;b_sac_fly;b_reached_on_error;sprint_speed;BIP;a_ROE
Ohtani; Shohei;660271;2022;586;34;161;3;4;28.3;394;0.010152284
Acuna Jr.; Ronald;660670;2022;467;15;126;3;4;28.5;329;0.012158055
Varsho; Daulton;662139;2022;531;27;145;5;4;28;364;0.010989011
Hoerner; Nico;663538;2022;481;10;57;2;4;29.1;416;0.009615385
Riley; Austin;663586;2022;615;38;168;4;3;27.8;413;0.007263923
Mountcastle; Ryan;663624;2022;555;22;154;7;1;27.5;386;0.002590674
Hayes; Ke'Bryan;663647;2022;505;7;122;2;6;27.9;378;0.015873016
Tucker; Kyle;663656;2022;544;30;95;2;1;26.6;421;0.002375297
Grisham; Trent;663757;2022;451;17;150;2;2;28.8;286;0.006993007
Rodgers; Brendan;663898;2022;527;13;101;5;4;26.7;418;0.009569378
Lowe; Nathaniel;663993;2022;593;27;147;0;5;27.1;419;0.011933174
Happ; Ian;664023;2022;573;17;149;4;5;27.9;411;0.01216545
France; Ty;664034;2022;551;20;94;5;5;24.7;442;0.011312217
Straw; Myles;664702;2022;535;0;87;4;4;29.3;452;0.008849558
Bohm; Alec;664761;2022;586;13;110;10;10;27.1;473;0.021141649
Brown; Seth;664913;2022;500;25;146;1;1;27.9;330;0.003030303
Pena; Jeremy;665161;2022;521;22;135;5;5;29.4;369;0.013550136
Guerrero Jr.; Vladimir;665489;2022;638;32;116;4;5;26.6;494;0.010121457
Soto; Juan;665742;2022;524;27;96;0;5;26.6;401;0.012468828
Gimenez; Andres;665926;2022;491;17;112;3;3;29.3;365;0.008219178
Bichette; Bo;666182;2022;652;24;155;2;6;27.5;475;0.012631579
Garcia; Adolis;666969;2022;605;27;183;6;3;27.9;401;0.007481297
Arozarena; Randy;668227;2022;586;20;156;2;5;28.8;412;0.012135922
Reynolds; Bryan;668804;2022;542;27;141;2;7;28.3;376;0.018617021
Rojas; Josh;668942;2022;443;9;98;5;1;27.3;341;0.002932551
Melendez Jr.; MJ;669004;2022;460;18;131;7;2;27.8;318;0.006289308
Murphy; Sean;669221;2022;537;18;124;5;1;26.1;400;0.0025
Edman; Tommy;669242;2022;577;13;111;1;2;28.8;454;0.004405286
Smith; Will;669257;2022;508;24;96;4;4;27.5;392;0.010204082
Hays; Austin;669720;2022;535;16;114;3;7;27.8;408;0.017156863
Alvarez; Yordan;670541;2022;470;37;106;7;0;26.5;334;0
Kirk; Alejandro;672386;2022;470;14;58;4;8;24.1;402;0.019900498
Kim; Ha-Seong;673490;2022;517;11;100;4;4;28.4;410;0.009756098
Rodriguez; Julio;677594;2022;511;28;145;1;7;29.8;339;0.020648968
Witt Jr.; Bobby;677951;2022;591;20;135;5;3;30.4;441;0.006802721
Kwan; Steven;680757;2022;563;6;60;4;4;28.4;501;0.007984032
Vaughn; Andrew;683734;2022;510;17;96;5;4;26.2;402;0.009950249
Cabrera; Miguel;408234;2021;472;15;118;9;3;23.9;348;0.00862069
Cruz Jr.; Nelson;443558;2021;513;32;126;9;5;26;364;0.013736264
Peralta; David;444482;2021;487;8;92;2;3;27.6;389;0.007712082
Blackmon; Charlie;453568;2021;514;13;91;3;3;27.7;413;0.007263923
McCutchen; Andrew;457705;2021;482;27;132;7;3;28.7;330;0.009090909
Turner; Justin;457759;2021;533;27;98;6;4;25.5;414;0.009661836
Votto; Joey;458015;2021;448;36;127;4;2;25.1;289;0.006920415
Andrus; Elvis;462101;2021;497;3;81;4;7;26.7;417;0.016786571
Santana; Carlos;467793;2021;565;19;102;5;4;24.9;449;0.008908686
Lowrie; Jed;476704;2021;457;14;108;4;4;25.2;339;0.01179941
Brantley Jr.; Michael;488726;2021;469;8;53;1;4;25.7;409;0.009779951
Gurriel; Yuli;493329;2021;530;15;68;12;0;27;459;0
Rojas; Miguel;500743;2021;495;9;74;1;3;26.6;413;0.007263923
Escobar; Eduardo;500871;2021;549;28;124;1;5;27.4;398;0.012562814
Pham; Tommy;502054;2021;475;15;128;4;5;27.8;336;0.014880952
Martinez; J.D.;502110;2021;570;28;150;5;4;26.1;397;0.010075567
Goldschmidt; Paul;502671;2021;603;31;136;5;7;26.2;441;0.015873016
Altuve; Jose;514888;2021;601;31;91;6;4;28;485;0.008247423
Hernandez; Cesar;514917;2021;570;21;135;3;4;28.7;417;0.009592326
Segura; Jean;516416;2021;514;14;78;4;7;27.3;426;0.016431925
Marte; Starling;516782;2021;467;12;99;2;5;28.4;358;0.01396648
Donaldson; Josh;518626;2021;457;26;114;8;2;24.5;325;0.006153846
Freeman; Freddie;518692;2021;600;31;107;2;6;27;464;0.012931034
LeMahieu; DJ;518934;2021;597;10;94;5;2;26.5;498;0.004016064
Rizzo; Anthony;519203;2021;496;22;87;5;6;25.2;392;0.015306122
Stanton; Giancarlo;519317;2021;510;35;157;3;5;24.7;321;0.015576324
Perez; Salvador;521692;2021;620;48;170;4;6;26.1;406;0.014778325
Garcia; Avisail;541645;2021;461;29;121;5;6;28.7;316;0.018987342
Villar; Jonathan;542340;2021;454;18;132;0;2;27.3;304;0.006578947
Aguilar; Jesus;542583;2021;449;22;93;7;1;24.3;341;0.002932551
Crawford; Brandon;543063;2021;483;24;105;5;5;25.8;359;0.013927577
Cron; C.J.;543068;2021;470;28;117;4;4;25.9;329;0.012158055
Grossman; Robbie;543257;2021;557;23;155;6;6;27.8;385;0.015584416
Harrison; Josh;543281;2021;505;8;75;3;3;26.7;425;0.007058824
Hosmer; Eric;543333;2021;509;12;99;2;4;26;400;0.01
Semien; Marcus;543760;2021;652;45;146;3;1;28.6;464;0.002155172
Grichuk; Randal;545341;2021;511;22;114;4;2;28.1;379;0.005277045
Harper; Bryce;547180;2021;488;35;134;4;2;27.8;323;0.00619195
Abreu; Jose;547989;2021;566;30;143;10;4;26.5;403;0.009925558
Suarez; Eugenio;553993;2021;505;31;171;5;2;26.7;308;0.006493506
Schoop; Jonathan;570731;2021;623;22;133;8;4;27;476;0.008403361
Arenado; Nolan;571448;2021;593;34;96;7;4;25.4;470;0.008510638
Farmer; Kyle;571657;2021;483;16;97;5;2;27;375;0.005333333
Haniger; Mitch;571745;2021;620;39;169;8;8;27.2;420;0.019047619
Hernandez; Enrique;571771;2021;508;20;110;7;5;27.4;385;0.012987013
Muncy; Max;571970;2021;497;36;120;1;3;26.7;342;0.00877193
Seager; Kyle;572122;2021;603;35;161;4;3;25.5;411;0.00729927
Taylor; Michael A.;572191;2021;483;12;144;5;4;28.2;332;0.012048193
Yastrzemski; Mike;573262;2021;468;25;131;3;2;27.3;315;0.006349206
Iglesias; Jose;578428;2021;483;9;75;1;1;28.3;400;0.0025
Bryant; Kris;592178;2021;513;25;135;2;6;27.9;355;0.016901408
Canha; Mark;592192;2021;519;17;128;2;10;27.8;376;0.026595745
Castellanos; Nick;592206;2021;531;34;121;6;3;27.6;382;0.007853403
Judge; Aaron;592450;2021;550;39;158;5;4;27.6;358;0.011173184
Machado; Manny;592518;2021;564;28;102;11;4;26.4;445;0.008988764
Realmuto; J.T.;592663;2021;476;17;129;2;5;28.8;332;0.015060241
Renfroe; Hunter;592669;2021;521;31;130;6;6;27.3;366;0.016393443
Merrifield; Whit;593160;2021;664;10;103;12;5;28.6;563;0.008880995
Bogaerts; Xander;593428;2021;529;23;113;7;8;27.7;400;0.02
Polanco; Jorge;593871;2021;588;33;118;6;5;28;443;0.011286682
Sano; Miguel;593934;2021;470;30;183;1;5;26.5;258;0.019379845
Duvall; Adam;594807;2021;513;38;174;3;3;28.6;304;0.009868421
Baez; Javier;595879;2021;502;31;184;3;6;28.6;290;0.020689655
Lindor; Francisco;596019;2021;452;20;96;3;3;27.8;339;0.008849558
